com.samsung.shealth.tracker.heart_rate,6266001,3
source,tag_id,com.samsung.health.heart_rate.create_sh_ver,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.modify_sh_ver,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.comment,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.heart_rate
,20000,,1,2020-12-25 22:14:00.000,,,,2020-12-25 22:14:00.000,2020-12-25 22:14:00.000,93.0,93.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 22:14:00.000,9337754d-83cd-98b5-f65f-19e0a94a9ccb,93.0,
,20000,,1,2020-12-25 22:24:00.000,,,,2020-12-25 22:24:00.000,2020-12-25 22:24:00.000,84.0,84.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 22:24:00.000,1d93fe04-93aa-50b3-7e3b-2aa68d8d3287,84.0,
,20000,,1,2020-12-25 22:34:00.000,,,,2020-12-25 22:34:00.000,2020-12-25 22:34:00.000,96.0,96.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 22:34:00.000,2ed70171-1143-9dc9-e11b-57aec111d1e4,96.0,
,20000,,1,2020-12-25 22:44:00.000,,,,2020-12-25 22:44:00.000,2020-12-25 22:44:00.000,89.0,89.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 22:44:00.000,f455b61c-edc7-6288-d13f-e24162fd2ff3,89.0,
,20000,,1,2020-12-25 22:54:00.000,,,,2020-12-25 22:54:00.000,2020-12-25 22:54:00.000,93.0,93.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 22:54:00.000,38e59566-9fd3-0512-a8bd-c62df2462fb0,93.0,
,20000,,1,2020-12-25 23:04:00.000,,,,2020-12-25 23:04:00.000,2020-12-25 23:04:00.000,102.0,102.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 23:04:00.000,6576c10e-c728-d188-e4f1-ea3ceba329f7,102.0,
,20000,,1,2020-12-25 23:14:00.000,,,,2020-12-25 23:14:00.000,2020-12-25 23:14:00.000,102.0,102.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 23:14:00.000,8ff1b79b-7417-da3a-c6a7-cfa4fe884cbf,102.0,
,20000,,1,2020-12-25 23:24:00.000,,,,2020-12-25 23:24:00.000,2020-12-25 23:24:00.000,98.0,98.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 23:24:00.000,35938a55-abf0-12c5-970a-bdcc45da7d78,98.0,
,20000,,1,2020-12-25 23:34:00.000,,,,2020-12-25 23:34:00.000,2020-12-25 23:34:00.000,98.0,98.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 23:34:00.000,71be5302-c682-6307-d3ca-03f4d0adf5ed,98.0,
,20000,,1,2020-12-25 23:44:00.000,,,,2020-12-25 23:44:00.000,2020-12-25 23:44:00.000,108.0,108.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 23:44:00.000,5f95f10f-f957-2975-edc4-0e57d0d5dfd0,108.0,
,20000,,1,2020-12-25 23:54:00.000,,,,2020-12-25 23:54:00.000,2020-12-25 23:54:00.000,100.0,100.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 23:54:00.000,6251f698-77ce-8080-5931-03f74bde2923,100.0,
,20000,,1,2020-12-26 00:04:00.000,,,,2020-12-26 00:04:00.000,2020-12-26 00:04:00.000,99.0,99.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 00:04:00.000,f6150119-17eb-c718-787f-2950fb352ecf,99.0,
,20000,,1,2020-12-26 15:53:00.000,,,,2020-12-26 15:53:00.000,2020-12-26 15:53:00.000,103.0,103.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 15:53:00.000,6964e7a2-040a-4e3a-79d5-210437944864,103.0,
,20000,,1,2020-12-26 15:54:00.000,,,,2020-12-26 15:54:00.000,2020-12-26 15:54:00.000,105.0,105.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 15:54:00.000,8be3a5d8-d007-fc4e-f5f7-246d18e5792c,105.0,
,20000,,1,2020-12-26 16:01:00.000,,,,2020-12-26 16:01:00.000,2020-12-26 16:01:00.000,76.0,76.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 16:01:00.000,9c20b11d-0ec5-d87c-105d-f3faff71ae7c,76.0,
,20000,,1,2020-12-26 16:14:00.000,,,,2020-12-26 16:14:00.000,2020-12-26 16:14:00.000,89.0,89.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 16:14:00.000,2c76a3e1-a018-c401-68f8-d8d1b33a47b1,89.0,
,20000,,1,2020-12-26 16:34:00.000,,,,2020-12-26 16:34:00.000,2020-12-26 16:34:00.000,83.0,83.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 16:34:00.000,c16ebf62-5cb7-15d4-6a8f-7e9f5b827294,83.0,
,20000,,1,2020-12-26 16:44:00.000,,,,2020-12-26 16:44:00.000,2020-12-26 16:44:00.000,93.0,93.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 16:44:00.000,e08fe1f0-e3d7-9efb-417f-5babebd6be7d,93.0,
,20000,,1,2020-12-26 16:54:00.000,,,,2020-12-26 16:54:00.000,2020-12-26 16:54:00.000,93.0,93.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 16:54:00.000,de4a02e3-6a78-eb37-1ac6-fdc2eeb1e78b,93.0,
,20000,,1,2020-12-26 17:04:00.000,,,,2020-12-26 17:04:00.000,2020-12-26 17:04:00.000,93.0,93.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 17:04:00.000,3a9da1de-a0f4-f3a1-93fc-5d72e07458de,93.0,
,20000,,1,2020-12-26 17:24:00.000,,,,2020-12-26 17:24:00.000,2020-12-26 17:24:00.000,91.0,91.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 17:24:00.000,788bec39-6200-9628-c237-6e2b0f67eafd,91.0,
,20000,,1,2020-12-26 17:34:00.000,,,,2020-12-26 17:34:00.000,2020-12-26 17:34:00.000,91.0,91.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 17:34:00.000,2500e586-f4d0-2934-2f6d-78729b0c8e87,91.0,
,20000,,1,2020-12-26 17:44:00.000,,,,2020-12-26 17:44:00.000,2020-12-26 17:44:00.000,86.0,86.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 17:44:00.000,07e3f460-a4e7-b727-0492-8d8705413414,86.0,
,20000,,1,2020-12-26 17:54:00.000,,,,2020-12-26 17:54:00.000,2020-12-26 17:54:00.000,82.0,82.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 17:54:00.000,e3cc1760-1521-d8f9-e3a5-8eee69fa253d,82.0,
,20000,,1,2020-12-26 18:04:00.000,,,,2020-12-26 18:04:00.000,2020-12-26 18:04:00.000,102.0,102.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 18:04:00.000,65cace62-a9c1-f563-996a-2f93bdc4d45d,102.0,
,20000,,1,2020-12-26 18:14:00.000,,,,2020-12-26 18:14:00.000,2020-12-26 18:14:00.000,92.0,92.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 18:14:00.000,7bef2016-a45a-98da-31e0-ca316fbc54a3,92.0,
,20000,,1,2020-12-26 18:24:00.000,,,,2020-12-26 18:24:00.000,2020-12-26 18:24:00.000,113.0,113.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 18:24:00.000,8965e0eb-4608-e700-1dcb-64e6269f01b9,113.0,
,20000,,1,2020-12-26 18:34:00.000,,,,2020-12-26 18:34:00.000,2020-12-26 18:34:00.000,90.0,90.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 18:34:00.000,b7963b07-bb25-263c-d5f5-78fe991b6e38,90.0,
,20000,,1,2020-12-26 18:44:00.000,,,,2020-12-26 18:44:00.000,2020-12-26 18:44:00.000,95.0,95.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 18:44:00.000,0d84f310-b594-e0e9-38ef-c24fd27ef246,95.0,
,20000,,1,2020-12-26 18:54:00.000,,,,2020-12-26 18:54:00.000,2020-12-26 18:54:00.000,104.0,104.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 18:54:00.000,15569655-6121-8e4a-7096-d97f7001c3cb,104.0,
,20000,,1,2020-12-26 19:14:00.000,,,,2020-12-26 19:14:00.000,2020-12-26 19:14:00.000,93.0,93.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 19:14:00.000,31b34a8b-8d44-0d8d-4d7e-6f79f79eb708,93.0,
,20000,,1,2020-12-26 19:24:00.000,,,,2020-12-26 19:24:00.000,2020-12-26 19:24:00.000,83.0,83.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-26 19:24:00.000,65a0a903-e8d0-adf4-25a7-d3a7b166c86c,83.0,
