com.samsung.shealth.step_daily_trend,6266001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
55667d4f-8007-41d8-9df0-15e808ce6763.binning_data.json,2024-04-20 12:18:49.311,2024-04-20 12:18:49.311,com.sec.android.app.shealth,-2,939,1.6619946,828.2953,65.18684,VfS0qUERdZ,com.sec.android.app.shealth,55667d4f-8007-41d8-9df0-15e808ce6763,1612483200000,
c363d7f0-f972-4b88-bfd6-4170e1cbb1d7.binning_data.json,2024-04-20 12:18:49.311,2024-04-20 12:18:49.311,com.sec.android.app.shealth,-2,3071,1.5130175,2541.1477,179.64304,VfS0qUERdZ,com.sec.android.app.shealth,c363d7f0-f972-4b88-bfd6-4170e1cbb1d7,1612569600000,
3011100c-7168-423e-bcf0-032655280e6d.binning_data.json,2024-04-20 12:18:49.312,2024-04-20 12:18:49.312,com.sec.android.app.shealth,-2,4627,1.4166554,3718.8367,248.52728,VfS0qUERdZ,com.sec.android.app.shealth,3011100c-7168-423e-bcf0-032655280e6d,1612656000000,
88256727-cdf7-4945-9b27-0a351ef067e2.binning_data.json,2024-04-20 12:18:49.312,2024-04-20 12:18:49.312,com.sec.android.app.shealth,-2,1322,1.7404306,1175.7963,93.554344,VfS0qUERdZ,com.sec.android.app.shealth,88256727-cdf7-4945-9b27-0a351ef067e2,1612742400000,
0bcd5200-c2ef-451a-b026-c48115e75f20.binning_data.json,2024-04-20 12:18:49.313,2024-04-20 12:18:49.313,com.sec.android.app.shealth,-2,673,1.8223966,607.699,49.619797,VfS0qUERdZ,com.sec.android.app.shealth,0bcd5200-c2ef-451a-b026-c48115e75f20,1612828800000,
1c860ffd-01d9-4b15-9764-915a2fd77457.binning_data.json,2024-04-20 12:18:49.313,2024-04-20 12:18:49.313,com.sec.android.app.shealth,-2,1490,1.7429484,1326.9945,106.11401,VfS0qUERdZ,com.sec.android.app.shealth,1c860ffd-01d9-4b15-9764-915a2fd77457,1612915200000,
7593feb2-bc84-48a3-9ac8-3a292fc5cdd2.binning_data.json,2024-04-20 12:18:49.314,2024-04-20 12:18:49.314,com.sec.android.app.shealth,-2,984,1.8823988,908.0936,76.13672,VfS0qUERdZ,com.sec.android.app.shealth,7593feb2-bc84-48a3-9ac8-3a292fc5cdd2,1613001600000,
e4b17761-c2d6-4731-b231-f652a891cb7a.binning_data.json,2024-04-20 12:18:49.314,2024-04-20 12:18:49.314,com.sec.android.app.shealth,-2,616,1.952512,567.79865,47.6095,VfS0qUERdZ,com.sec.android.app.shealth,e4b17761-c2d6-4731-b231-f652a891cb7a,1613088000000,
832e3f98-abb1-46ed-9ae8-e549f2c2d0f7.binning_data.json,2024-04-20 12:18:49.315,2024-04-20 12:18:49.315,com.sec.android.app.shealth,-2,1140,1.3922441,913.4916,60.782917,VfS0qUERdZ,com.sec.android.app.shealth,832e3f98-abb1-46ed-9ae8-e549f2c2d0f7,1613174400000,
4ac73c40-acc4-45bb-9e2d-b74ca3e885e1.binning_data.json,2024-04-20 12:18:49.315,2024-04-20 12:18:49.315,com.sec.android.app.shealth,-2,6686,1.4043955,5370.931,360.31168,VfS0qUERdZ,com.sec.android.app.shealth,4ac73c40-acc4-45bb-9e2d-b74ca3e885e1,1613260800000,
75e279a5-a587-401f-a102-89edc2023588.binning_data.json,2024-04-20 12:18:49.316,2024-04-20 12:18:49.316,com.sec.android.app.shealth,-2,1023,1.8781402,936.29364,77.54437,VfS0qUERdZ,com.sec.android.app.shealth,75e279a5-a587-401f-a102-89edc2023588,1613347200000,
2934d305-2c77-4cc4-b8a5-1cf3f011c381.binning_data.json,2024-04-20 12:18:49.316,2024-04-20 12:18:49.316,com.sec.android.app.shealth,-2,956,1.8126894,860.79474,69.66372,VfS0qUERdZ,com.sec.android.app.shealth,2934d305-2c77-4cc4-b8a5-1cf3f011c381,1613433600000,
6f1ce55d-0c48-46a9-964a-26e780fbd28d.binning_data.json,2024-04-20 12:18:49.317,2024-04-20 12:18:49.317,com.sec.android.app.shealth,-2,1442,1.591212,1230.4005,92.15618,VfS0qUERdZ,com.sec.android.app.shealth,6f1ce55d-0c48-46a9-964a-26e780fbd28d,1613520000000,
02fa63a0-a2b0-4076-a5fd-103a8d17e567.binning_data.json,2024-04-20 12:18:49.317,2024-04-20 12:18:49.317,com.sec.android.app.shealth,-2,558,1.7795019,502.79938,40.789543,VfS0qUERdZ,com.sec.android.app.shealth,02fa63a0-a2b0-4076-a5fd-103a8d17e567,1613606400000,
b2a70b84-a9e9-4d36-9654-9ca65f2b9c3b.binning_data.json,2024-04-20 12:18:49.318,2024-04-20 12:18:49.318,com.sec.android.app.shealth,-2,960,1.5383968,773.99316,50.78034,VfS0qUERdZ,com.sec.android.app.shealth,b2a70b84-a9e9-4d36-9654-9ca65f2b9c3b,1613692800000,
81abcddd-ea4e-4fba-8948-abaf897641ae.binning_data.json,2024-04-20 12:18:49.318,2024-04-20 12:18:49.318,com.sec.android.app.shealth,-2,1454,1.3644218,1166.497,78.46592,VfS0qUERdZ,com.sec.android.app.shealth,81abcddd-ea4e-4fba-8948-abaf897641ae,1613779200000,
2ec45fcb-a0cc-465a-8100-d834d0c4e073.binning_data.json,2024-04-20 12:18:49.319,2024-04-20 12:18:49.319,com.sec.android.app.shealth,-2,5070,1.4084512,4081.66,274.77914,VfS0qUERdZ,com.sec.android.app.shealth,2ec45fcb-a0cc-465a-8100-d834d0c4e073,1613865600000,
b6c23ede-9fde-4547-a2cc-f7a18a941abf.binning_data.json,2024-04-20 12:18:49.320,2024-04-20 12:18:49.320,com.sec.android.app.shealth,-2,1467,1.5042762,1175.0967,76.4986,VfS0qUERdZ,com.sec.android.app.shealth,b6c23ede-9fde-4547-a2cc-f7a18a941abf,1613952000000,
ede3c591-2215-430e-ad54-81e6a2ab0b59.binning_data.json,2024-04-20 12:18:49.320,2024-04-20 12:18:49.320,com.sec.android.app.shealth,-2,696,1.5709914,573.8967,39.7403,VfS0qUERdZ,com.sec.android.app.shealth,ede3c591-2215-430e-ad54-81e6a2ab0b59,1614038400000,
15354a87-694e-4169-988c-f71d0ced035a.binning_data.json,2024-04-20 12:18:49.321,2024-04-20 12:18:49.321,com.sec.android.app.shealth,-2,888,1.57966,710.9939,45.6015,VfS0qUERdZ,com.sec.android.app.shealth,15354a87-694e-4169-988c-f71d0ced035a,1614124800000,
b1417871-eb28-4bcc-94f8-6c6197e85eb1.binning_data.json,2024-04-20 12:18:49.322,2024-04-20 12:18:49.322,com.sec.android.app.shealth,-2,1436,1.4767797,1154.7952,76.13079,VfS0qUERdZ,com.sec.android.app.shealth,b1417871-eb28-4bcc-94f8-6c6197e85eb1,1614211200000,
ab2db7df-e1d8-4859-8864-7746216bdc24.binning_data.json,2024-04-20 12:18:49.322,2024-04-20 12:18:49.322,com.sec.android.app.shealth,-2,855,1.4697204,687.5947,45.298016,VfS0qUERdZ,com.sec.android.app.shealth,ab2db7df-e1d8-4859-8864-7746216bdc24,1614297600000,
