com.samsung.shealth.tracker.pedometer_day_summary,6266001,6
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,4205,adbbfcd8-e90c-4b0b-a18e-39076c6d43de.binning_data.json,2413740,6000,,44,2021-01-11 10:32:11.695,com.sec.android.app.shealth,2021-01-10 09:21:34.238,adbbfcd8-e90c-4b0b-a18e-39076c6d43de.source_info.json,1.3995767,3378.2148,226.7766,4161,VfS0qUERdZ,com.sec.android.app.shealth,0,adbbfcd8-e90c-4b0b-a18e-39076c6d43de.achievement.json,adbbfcd8-e90c-4b0b-a18e-39076c6d43de,1610236800000,
,4205,c0f5a037-8a5c-418e-9e73-72c58b47271f.binning_data.json,2413740,6000,,44,2021-01-12 03:15:17.330,com.sec.android.app.shealth,2021-01-11 03:00:03.910,,1.3995767,3378.2148,226.7766,4161,rCXGezyjDZ,com.sec.android.app.shealth,0,c0f5a037-8a5c-418e-9e73-72c58b47271f.achievement.json,c0f5a037-8a5c-418e-9e73-72c58b47271f,1610236800000,
,936,08cdc717-bfe9-42cc-a8bd-6a3e3706cf4f.binning_data.json,470151,6000,,100,2021-01-11 22:59:42.877,com.sec.android.app.shealth,2021-01-11 21:25:38.015,08cdc717-bfe9-42cc-a8bd-6a3e3706cf4f.source_info.json,1.6577483,779.3935,54.742313,836,VfS0qUERdZ,com.sec.android.app.shealth,0,08cdc717-bfe9-42cc-a8bd-6a3e3706cf4f.achievement.json,08cdc717-bfe9-42cc-a8bd-6a3e3706cf4f,1610323200000,
,936,8d39a307-748f-42e8-b083-59e21ccc1c54.binning_data.json,470151,6000,,100,2021-01-12 03:15:17.333,com.sec.android.app.shealth,2021-01-12 03:15:17.333,,1.6577483,779.3935,54.742313,836,rCXGezyjDZ,com.sec.android.app.shealth,0,8d39a307-748f-42e8-b083-59e21ccc1c54.achievement.json,8d39a307-748f-42e8-b083-59e21ccc1c54,1610323200000,
,860,8d1665a4-09d9-4afa-b8fa-a0a59c333b32.binning_data.json,467091,6000,,142,2021-01-12 22:57:38.617,com.sec.android.app.shealth,2021-01-12 21:26:16.788,8d1665a4-09d9-4afa-b8fa-a0a59c333b32.source_info.json,1.5583596,727.89606,53.55076,718,VfS0qUERdZ,com.sec.android.app.shealth,0,8d1665a4-09d9-4afa-b8fa-a0a59c333b32.achievement.json,8d1665a4-09d9-4afa-b8fa-a0a59c333b32,1610409600000,
,860,3bf0d8dc-95f9-4ceb-a5ee-3b318ba5c060.binning_data.json,467091,6000,,142,2021-01-13 03:10:05.766,com.sec.android.app.shealth,2021-01-13 03:10:05.766,,1.5583596,727.89606,53.55076,718,rCXGezyjDZ,com.sec.android.app.shealth,0,3bf0d8dc-95f9-4ceb-a5ee-3b318ba5c060.achievement.json,3bf0d8dc-95f9-4ceb-a5ee-3b318ba5c060,1610409600000,
,764,155bc2c2-d1c4-41ab-a3d2-b14909395c89.binning_data.json,379954,6000,,314,2021-01-13 23:02:10.677,com.sec.android.app.shealth,2021-01-13 21:21:02.380,155bc2c2-d1c4-41ab-a3d2-b14909395c89.source_info.json,1.8312641,695.79724,57.31205,450,VfS0qUERdZ,com.sec.android.app.shealth,0,155bc2c2-d1c4-41ab-a3d2-b14909395c89.achievement.json,155bc2c2-d1c4-41ab-a3d2-b14909395c89,1610496000000,
,764,afb8e1ed-bb9b-4b7e-a0e0-c05740521e34.binning_data.json,379954,6000,,314,2021-01-14 03:00:03.346,com.sec.android.app.shealth,2021-01-14 03:00:03.346,,1.8312641,695.79724,57.31205,450,rCXGezyjDZ,com.sec.android.app.shealth,0,afb8e1ed-bb9b-4b7e-a0e0-c05740521e34.achievement.json,afb8e1ed-bb9b-4b7e-a0e0-c05740521e34,1610496000000,
,929,2d345500-0898-4d64-a31c-53d39343639c.binning_data.json,478946,6000,,4,2021-01-16 10:26:19.026,com.sec.android.app.shealth,2021-01-16 10:26:19.026,2d345500-0898-4d64-a31c-53d39343639c.source_info.json,1.5542319,744.39325,47.939953,925,VfS0qUERdZ,com.sec.android.app.shealth,0,2d345500-0898-4d64-a31c-53d39343639c.achievement.json,2d345500-0898-4d64-a31c-53d39343639c,1610668800000,
,497,ed3d10bb-67f1-4bdf-babf-8ce60d0808e4.binning_data.json,297879,6000,,0,2021-01-16 10:26:19.033,com.sec.android.app.shealth,2021-01-16 10:26:19.033,ed3d10bb-67f1-4bdf-babf-8ce60d0808e4.source_info.json,1.3398007,399.09906,26.962082,497,VfS0qUERdZ,com.sec.android.app.shealth,0,ed3d10bb-67f1-4bdf-babf-8ce60d0808e4.achievement.json,ed3d10bb-67f1-4bdf-babf-8ce60d0808e4,1610582400000,
,1619,9464378a-4d42-4e0c-a96f-7a84139fedbd.binning_data.json,873924,6000,,93,2021-01-16 23:30:11.284,com.sec.android.app.shealth,2021-01-16 12:30:37.245,9464378a-4d42-4e0c-a96f-7a84139fedbd.source_info.json,1.5077959,1317.7,90.06534,1526,VfS0qUERdZ,com.sec.android.app.shealth,0,9464378a-4d42-4e0c-a96f-7a84139fedbd.achievement.json,9464378a-4d42-4e0c-a96f-7a84139fedbd,1610755200000,
,929,577b32eb-6a5c-40e0-90ac-095e529fd975.binning_data.json,478946,6000,,4,2021-01-17 04:41:01.780,com.sec.android.app.shealth,2021-01-17 04:41:01.780,,1.5542319,744.39325,47.939953,925,rCXGezyjDZ,com.sec.android.app.shealth,0,577b32eb-6a5c-40e0-90ac-095e529fd975.achievement.json,577b32eb-6a5c-40e0-90ac-095e529fd975,1610668800000,
