com.samsung.shealth.tracker.pedometer_step_count,6266001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
,,0,37,2024-06-11 21:19:00.000,,,2024-06-11 21:19:59.000,2024-06-11 21:19:59.000,37,1.6707364,29.600063,1.8529239,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 21:19:59.000,cb16c840-4652-5ec0-d279-c2ef12f34e2c,
,,0,4,2024-06-11 21:20:00.000,,,2024-06-11 21:21:08.000,2024-06-11 21:20:59.000,4,1.6530919,3.2000122,0.19531822,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 21:20:59.000,c3cc2d38-8910-7c19-4a9b-afc340215d61,
,,0,15,2024-06-11 21:40:00.000,,,2024-06-11 21:40:59.000,2024-06-11 21:40:59.000,15,1.3327919,12.000023,0.7620864,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 21:40:59.000,db3de945-fab6-5a17-c298-b240e782aa5a,
,,0,10,2024-06-11 21:59:00.000,,,2024-06-11 21:59:59.000,2024-06-11 21:59:59.000,10,1.3333333,8.000008,0.49501753,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 21:59:59.000,4909e7d2-859e-c3ce-1929-3c816a010dfc,
,,0,19,2024-06-11 22:06:00.000,,,2024-06-11 22:06:59.000,2024-06-11 22:06:59.000,19,1.3846152,15.20005,0.986289,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:06:59.000,aff133d5-cc14-add5-0f72-a03a61467081,
,,0,32,2024-06-11 22:07:00.000,,,2024-06-11 22:07:59.000,2024-06-11 22:07:59.000,32,1.5239062,25.600082,1.6183529,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:07:59.000,2f050d81-dd3c-732b-0a96-5e39413c6dff,
,,0,18,2024-06-11 22:24:00.000,,,2024-06-11 22:26:05.000,2024-06-11 22:24:59.000,18,1.3870662,14.400055,0.9232855,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:24:59.000,e5f8ba56-ccdd-bb61-be52-905bf1073b8e,
,,0,52,2024-06-11 22:27:00.000,,,2024-06-11 22:27:59.000,2024-06-11 22:27:59.000,52,1.4368789,41.60016,2.6278105,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:27:59.000,90bc533b-ec46-7cc2-ed10-ce4abc48fb40,
,,0,43,2024-06-11 22:28:00.000,,,2024-06-11 22:29:19.000,2024-06-11 22:28:59.000,43,1.4959686,34.40013,2.1568613,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:28:59.000,7d6a8ee5-7b69-c73f-60e3-8f8f82ae4d93,
,,0,61,2024-06-11 22:29:00.000,,,2024-06-11 22:29:59.000,2024-06-11 22:29:59.000,61,1.3374476,48.799805,3.1504326,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:29:59.000,684c94b1-010f-9490-31ec-6c2110c66c34,
,,0,115,2024-06-11 22:30:00.000,,,2024-06-11 22:30:59.000,2024-06-11 22:30:59.000,115,1.6304959,91.9986,5.6453,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:30:59.000,a4a2e65c-f203-e277-bb57-58643b042b23,
,,20,97,2024-06-11 22:31:00.000,,,2024-06-11 22:31:59.000,2024-06-11 22:31:59.000,117,1.6004763,99.59903,6.9403057,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:31:59.000,775f8620-1d07-d96e-214f-dcb75434fa1e,
