com.samsung.shealth.exercise.photo,6266001,2
start_time,latitude,custom,update_time,create_time,image,longitude,time_offset,deviceuuid,exercise_id,pkg_name,datauuid
2024-02-04 09:15:54.000,0.0,,2024-02-21 22:22:58.288,2024-02-21 22:22:58.288,b77eaa05-61cf-7743-cb16-c7996059e708.image.jpg,0.0,UTC-0300,LmLIi2hQJK,a860468d-92f9-dccc-33c8-975becf04ae7,com.sec.android.app.shealth,b77eaa05-61cf-7743-cb16-c7996059e708,
2024-03-03 11:32:25.000,0.0,,2024-03-03 20:25:19.263,2024-03-03 20:25:19.263,51ae4c33-36ae-581b-735b-66c592901dbb.image.jpg,0.0,UTC-0300,LmLIi2hQJK,4388b13c-15a3-12f2-c69e-26bb73dc5cf9,com.sec.android.app.shealth,51ae4c33-36ae-581b-735b-66c592901dbb,
2024-03-03 12:32:24.000,0.0,,2024-03-03 20:25:19.268,2024-03-03 20:25:19.268,e34ae134-893a-81c9-6e40-bface794e978.image.jpg,0.0,UTC-0300,LmLIi2hQJK,4388b13c-15a3-12f2-c69e-26bb73dc5cf9,com.sec.android.app.shealth,e34ae134-893a-81c9-6e40-bface794e978,
2024-03-12 22:40:29.000,0.0,,2024-03-13 19:47:49.906,2024-03-13 19:47:49.906,8fd543d0-d3e5-dffb-5504-d496e69c37cb.image.jpg,0.0,UTC-0300,LmLIi2hQJK,1a8df09a-b2de-4286-6ae6-1348db712a86,com.sec.android.app.shealth,8fd543d0-d3e5-dffb-5504-d496e69c37cb,
2024-03-19 23:11:55.000,0.0,,2024-03-21 19:49:39.694,2024-03-21 19:49:39.694,b4087aa5-a5df-382f-ce01-9a8e2e60fcef.image.jpg,0.0,UTC-0300,LmLIi2hQJK,dda3d580-abda-5565-2561-c8d51a62cf3c,com.sec.android.app.shealth,b4087aa5-a5df-382f-ce01-9a8e2e60fcef,
2024-04-04 23:10:26.000,0.0,,2024-04-05 02:05:24.127,2024-04-05 02:05:24.127,05eb4a13-d41b-4a9e-9c69-11da6fe48621.image.jpg,0.0,UTC-0300,LmLIi2hQJK,49038d3a-230a-63fe-1576-80c928f4d56d,com.sec.android.app.shealth,05eb4a13-d41b-4a9e-9c69-11da6fe48621,
2024-04-07 10:29:57.000,0.0,,2024-04-11 21:34:58.272,2024-04-09 02:04:56.877,a8aceac9-d460-d1b9-fd33-78b4869fa612.image.jpg,0.0,UTC-0300,LmLIi2hQJK,17177176-11a1-1dd2-45e3-b23469e3b6d3,com.sec.android.app.shealth,a8aceac9-d460-d1b9-fd33-78b4869fa612,
2024-04-07 15:15:48.000,0.0,,2024-04-11 21:34:58.276,2024-04-09 02:04:56.880,14cfea8b-899d-ac1b-ee13-0218d05000f8.image.jpg,0.0,UTC-0300,LmLIi2hQJK,17177176-11a1-1dd2-45e3-b23469e3b6d3,com.sec.android.app.shealth,14cfea8b-899d-ac1b-ee13-0218d05000f8,
2024-04-07 11:34:39.000,0.0,,2024-04-11 21:34:58.279,2024-04-09 02:04:56.883,6a4dbd51-f9d1-ad7f-2faa-d72bf731ae37.image.jpg,0.0,UTC-0300,LmLIi2hQJK,17177176-11a1-1dd2-45e3-b23469e3b6d3,com.sec.android.app.shealth,6a4dbd51-f9d1-ad7f-2faa-d72bf731ae37,
2024-04-07 11:34:22.000,0.0,,2024-04-11 21:34:58.283,2024-04-09 02:04:56.886,549c1078-cdae-fada-264a-cc37236846fb.image.jpg,0.0,UTC-0300,LmLIi2hQJK,17177176-11a1-1dd2-45e3-b23469e3b6d3,com.sec.android.app.shealth,549c1078-cdae-fada-264a-cc37236846fb,
2024-04-21 11:39:56.000,0.0,,2024-04-23 02:05:48.366,2024-04-23 02:05:48.366,7e247e6d-7688-9c12-4770-a67c1df7e949.image.jpg,0.0,UTC-0300,LmLIi2hQJK,5baba7bd-0613-8cb8-2e87-4deecb19b64a,com.sec.android.app.shealth,7e247e6d-7688-9c12-4770-a67c1df7e949,
2024-05-20 23:07:06.000,0.0,,2024-05-26 20:48:21.662,2024-05-26 10:51:57.226,aa7178a1-fed1-90ec-e577-1255df1763d2.image.jpg,0.0,UTC-0300,LmLIi2hQJK,8bc3de78-28df-6b43-229e-c029e8a0a25b,com.sec.android.app.shealth,aa7178a1-fed1-90ec-e577-1255df1763d2,
2024-06-02 10:45:16.000,0.0,,2024-06-04 21:43:51.541,2024-06-04 21:43:51.541,385154f0-fbd3-6b5b-b55d-42d54ca7ce93.image.jpg,0.0,UTC-0300,LmLIi2hQJK,3d4d506e-93f8-7de6-ceed-939341746446,com.sec.android.app.shealth,385154f0-fbd3-6b5b-b55d-42d54ca7ce93,
2024-06-16 13:00:29.000,0.0,,2024-06-17 21:23:36.165,2024-06-17 21:23:36.165,4c602944-95b2-4ee0-1bec-5e188cc46a7c.image.jpg,0.0,UTC-0300,LmLIi2hQJK,20e85ac3-5361-0bad-0df9-4792e0498ce6,com.sec.android.app.shealth,4c602944-95b2-4ee0-1bec-5e188cc46a7c,
2024-06-16 11:16:44.000,0.0,,2024-06-17 21:23:36.169,2024-06-17 21:23:36.169,09abdc66-197d-8a14-fd03-9a2001499827.image.jpg,0.0,UTC-0300,LmLIi2hQJK,20e85ac3-5361-0bad-0df9-4792e0498ce6,com.sec.android.app.shealth,09abdc66-197d-8a14-fd03-9a2001499827,
2024-06-16 11:05:06.000,0.0,,2024-06-17 21:23:36.172,2024-06-17 21:23:36.172,2b02b5a7-4f63-c56c-e164-dbc53a0a2e8d.image.jpg,0.0,UTC-0300,LmLIi2hQJK,20e85ac3-5361-0bad-0df9-4792e0498ce6,com.sec.android.app.shealth,2b02b5a7-4f63-c56c-e164-dbc53a0a2e8d,
2024-06-18 22:27:15.000,0.0,,2024-06-19 19:55:44.955,2024-06-19 19:55:44.955,031243f8-1bb5-c0a4-e21d-4bd3474fc254.image.jpg,0.0,UTC-0300,LmLIi2hQJK,12878763-821e-bdb0-9d27-219e41b9d329,com.sec.android.app.shealth,031243f8-1bb5-c0a4-e21d-4bd3474fc254,
2024-06-23 20:59:48.000,0.0,,2024-06-24 20:31:41.762,2024-06-24 20:31:41.762,bc283a3e-ab07-4e15-f5bd-2cf1c6c6755a.image.jpg,0.0,UTC-0300,LmLIi2hQJK,12a4d3b8-7af8-d2cd-888e-124719d2b2c0,com.sec.android.app.shealth,bc283a3e-ab07-4e15-f5bd-2cf1c6c6755a,
